"account_id","customer_id","tenure_months","num_referrals","has_internet_service","internet_type","has_unlimited_data","has_phone_service","has_multiple_lines","has_premium_tech_support","has_online_security","has_online_backup","has_device_protection","contract_type","paperless_billing","payment_method"
"COGJ-EDUOJ","7641-EUYET",46,3,"Yes","Fiber Optic","Yes","Yes","Yes","No","Yes","Yes","Yes","Month-to-Month","Yes","Bank Withdrawal"
"COIB-CGTQQ","9720-JJJOR",41,8,"Yes","DSL","Yes","Yes","No","No","Yes","Yes","Yes","One Year","Yes","Bank Withdrawal"
"COIZ-LIKNR","7028-DVOIQ",35,0,"Yes","Fiber Optic","No","Yes","Yes","No","No","No","Yes","Month-to-Month","Yes","Bank Withdrawal"
"COLC-QBQBL","7005-CYUIL",71,2,"Yes","Fiber Optic","Yes","Yes","No","Yes","Yes","Yes","Yes","Two Year","Yes","Bank Withdrawal"
"CONG-AXNOO","9033-EOXWV",12,0,"Yes","DSL","Yes","Yes","Yes","Yes","No","No","No","One Year","No","Credit Card"
"CONV-ESGRR","0285-INHLN",27,5,"Yes","DSL","Yes","Yes","No","No","Yes","Yes","No","Month-to-Month","Yes","Credit Card"
"COSM-NRJIM","0178-SZBHO",47,7,"Yes","Fiber Optic","Yes","Yes","Yes","No","No","Yes","No","Month-to-Month","No","Bank Withdrawal"
"COZY-HIJAK","0082-LDZUE",1,0,"Yes","DSL","Yes","Yes","No","No","No","No","No","Month-to-Month","Yes","Credit Card"
"CPAK-GXSFY","5306-BVTKJ",48,1,"Yes","DSL","Yes","Yes","No","No","No","Yes","Yes","One Year","Yes","Credit Card"
"CPCG-PQQSG","1104-FEJAM",28,2,"Yes","DSL","Yes","Yes","Yes","No","No","Yes","No","Month-to-Month","No","Bank Withdrawal"
"CPIG-FNAQW","9651-GTSAQ",53,1,"Yes","Fiber Optic","Yes","Yes","No","No","Yes","Yes","Yes","One Year","Yes","Bank Withdrawal"
"CPII-TREHI","4160-AMJTL",8,0,"No","None","No","Yes","No","No","No","No","No","Month-to-Month","No","Bank Withdrawal"
"CPKU-SZNOB","4803-AXVYP",38,0,"Yes","Fiber Optic","Yes","Yes","Yes","Yes","No","No","No","Month-to-Month","Yes","Bank Withdrawal"
"CPPQ-JFKLI","6143-JQKEA",10,0,"Yes","Cable","Yes","Yes","No","No","No","No","No","Month-to-Month","Yes","Credit Card"
"CPSW-ISJQN","3498-LZGQZ",63,2,"No","None","No","Yes","No","No","No","No","No","Two Year","Yes","Mailed Check"
"CPVQ-QCWZN","7242-EDTYC",44,0,"No","None","No","Yes","No","No","No","No","No","Two Year","No","Bank Withdrawal"
"CQCW-XRMDD","5568-DMXZS",8,0,"Yes","Cable","Yes","Yes","No","Yes","No","Yes","No","Month-to-Month","Yes","Bank Withdrawal"
"CQGL-JYBEN","7825-GKXMW",1,0,"Yes","DSL","No","Yes","No","No","No","No","No","Month-to-Month","No","Bank Withdrawal"
"CQGR-HWHQH","7011-CVEUC",25,7,"Yes","Fiber Optic","Yes","Yes","No","Yes","No","No","No","Month-to-Month","Yes","Credit Card"
"CQMC-PGOWZ","4891-NLUBA",61,8,"Yes","DSL","Yes","No","No","Yes","No","Yes","Yes","Two Year","Yes","Bank Withdrawal"
"CQZL-GNYSJ","6559-PDZLR",26,0,"Yes","Fiber Optic","Yes","Yes","No","Yes","No","No","Yes","Month-to-Month","Yes","Bank Withdrawal"
"CQZP-XXAUD","9350-VLHMB",67,4,"Yes","Fiber Optic","Yes","Yes","Yes","No","No","Yes","No","Month-to-Month","Yes","Bank Withdrawal"
"CQZX-ZVHLF","9753-OYLBX",1,0,"No","None","No","Yes","No","No","No","No","No","Month-to-Month","No","Credit Card"
"CRBE-HCIOX","4659-NZRUF",19,0,"Yes","Fiber Optic","No","Yes","Yes","No","Yes","Yes","No","Month-to-Month","Yes","Bank Withdrawal"
"CRJN-EUVPO","5296-PSYVW",72,8,"No","None","No","Yes","Yes","No","No","No","No","Two Year","No","Bank Withdrawal"
"CRKS-BDYBI","5372-FBKBN",21,0,"No","None","No","Yes","No","No","No","No","No","Month-to-Month","No","Credit Card"
"CRKW-HWOQE","2749-CTKAJ",22,3,"No","None","No","Yes","No","No","No","No","No","One Year","No","Credit Card"
"CRMV-TNKGW","2971-SGAFL",13,0,"Yes","DSL","No","Yes","Yes","No","Yes","No","Yes","Month-to-Month","Yes","Bank Withdrawal"
"CRQS-SEOVY","5419-KLXBN",25,1,"Yes","Fiber Optic","Yes","Yes","No","No","No","Yes","Yes","Month-to-Month","Yes","Bank Withdrawal"
"CRRL-UTCQZ","0397-GZBBC",59,0,"Yes","Fiber Optic","Yes","Yes","Yes","No","No","No","No","Month-to-Month","Yes","Bank Withdrawal"
"CRUV-ZDZOO","4833-QTJNO",67,10,"Yes","Fiber Optic","Yes","Yes","Yes","No","Yes","Yes","No","Month-to-Month","No","Bank Withdrawal"
"CRYW-ISOXY","4846-WHAFZ",37,1,"Yes","Fiber Optic","Yes","Yes","Yes","No","No","No","No","Month-to-Month","Yes","Bank Withdrawal"
"CRZJ-RKLEI","6476-EPYZR",12,6,"No","None","No","Yes","No","No","No","No","No","Month-to-Month","No","Credit Card"
"CSAI-UOYVV","9758-MFWGD",48,0,"Yes","DSL","Yes","No","No","No","No","Yes","No","One Year","No","Bank Withdrawal"
"CSBV-UXHOX","8896-BQTTI",1,0,"No","None","No","Yes","Yes","No","No","No","No","Month-to-Month","Yes","Credit Card"
"CSCH-PRZCS","3967-VQOGC",67,4,"No","None","No","Yes","Yes","No","No","No","No","Two Year","Yes","Credit Card"
"CSDG-KVHBK","9715-WZCLW",71,7,"Yes","Fiber Optic","Yes","Yes","Yes","No","Yes","No","No","Two Year","Yes","Bank Withdrawal"
"CSER-XWWEM","0979-PHULV",69,2,"Yes","Fiber Optic","Yes","Yes","Yes","No","No","No","Yes","Month-to-Month","Yes","Credit Card"
"CSIJ-CHRDZ","5288-AHOUP",11,0,"Yes","Fiber Optic","Yes","Yes","No","No","No","No","No","Two Year","Yes","Bank Withdrawal"
"CSIQ-UTZOH","3129-AAQOU",19,4,"No","None","No","Yes","Yes","No","No","No","No","Two Year","No","Credit Card"
"CSMX-ONVHK","8949-JTMAY",29,0,"Yes","Fiber Optic","Yes","Yes","Yes","No","No","No","Yes","Month-to-Month","Yes","Credit Card"
"CSOZ-MELMQ","4680-KUTAJ",11,0,"Yes","DSL","Yes","Yes","Yes","No","Yes","No","No","Two Year","Yes","Bank Withdrawal"
"CSQU-WFSAJ","2645-QTLMB",7,0,"Yes","Fiber Optic","Yes","Yes","No","No","No","Yes","No","Month-to-Month","Yes","Bank Withdrawal"
"CSRC-UOBHX","6035-BXTTY",32,0,"Yes","DSL","No","Yes","No","Yes","No","Yes","No","One Year","No","Bank Withdrawal"
"CSSB-TTFZM","6211-WWLTF",63,3,"Yes","Fiber Optic","Yes","Yes","No","No","Yes","No","Yes","Two Year","No","Credit Card"
"CSTA-WMYIO","4713-LZDRV",2,0,"Yes","Cable","Yes","Yes","No","No","No","No","No","Month-to-Month","Yes","Bank Withdrawal"
"CSUS-DXBPX","1222-KJNZD",40,2,"No","None","No","Yes","No","No","No","No","No","Month-to-Month","Yes","Bank Withdrawal"
"CSZB-RHZZK","7036-ZZKBD",31,7,"Yes","Cable","Yes","Yes","No","Yes","No","No","Yes","Month-to-Month","Yes","Credit Card"
"CTNJ-IXDTH","3815-SLMEF",3,0,"Yes","Cable","Yes","No","No","Yes","Yes","No","No","Month-to-Month","No","Mailed Check"
"CTNK-MMKOE","2739-CCZMB",5,0,"No","None","No","Yes","No","No","No","No","No","Month-to-Month","No","Credit Card"
"CTNR-GQTXL","7030-NJVDP",24,2,"Yes","Fiber Optic","Yes","Yes","No","Yes","Yes","No","No","Month-to-Month","Yes","Bank Withdrawal"
"CTPP-KXEHA","0621-HJWXJ",63,1,"Yes","Fiber Optic","Yes","Yes","Yes","No","No","Yes","No","Month-to-Month","Yes","Bank Withdrawal"
"CTXI-NZPAP","8944-AILEF",15,1,"No","None","No","Yes","No","No","No","No","No","Month-to-Month","Yes","Credit Card"
"CUBU-EIYOF","1656-DRSMG",63,0,"Yes","Fiber Optic","Yes","Yes","Yes","Yes","No","Yes","Yes","Month-to-Month","Yes","Credit Card"
"CUCB-KUJPW","3566-CAAYU",64,3,"Yes","DSL","Yes","No","No","Yes","No","Yes","Yes","Two Year","No","Bank Withdrawal"
"CUEA-WOWVD","8405-IGQFX",63,0,"Yes","Fiber Optic","Yes","Yes","No","Yes","No","No","Yes","One Year","Yes","Credit Card"
"CUIW-OPKKY","8731-WBBMB",26,7,"Yes","Cable","Yes","Yes","No","Yes","No","Yes","Yes","Month-to-Month","No","Bank Withdrawal"
"CUKB-BYTVG","7129-CAKJW",17,0,"Yes","Fiber Optic","Yes","Yes","Yes","No","No","No","Yes","Month-to-Month","No","Bank Withdrawal"
"CUTB-QAOEO","9798-DRYDS",17,6,"Yes","DSL","Yes","Yes","Yes","Yes","No","No","Yes","One Year","Yes","Mailed Check"
"CUWS-LKHDR","6202-DYYFX",22,0,"Yes","Fiber Optic","Yes","Yes","Yes","No","No","No","No","One Year","Yes","Credit Card"
"CUXU-MLJZN","5628-RKIFK",49,0,"Yes","Fiber Optic","Yes","Yes","Yes","No","Yes","No","No","One Year","No","Credit Card"
"CUZU-MOQKE","2361-UPSND",46,6,"Yes","DSL","Yes","Yes","No","Yes","Yes","Yes","No","One Year","No","Credit Card"
"CUZX-TFBQC","3521-MNKLV",24,0,"Yes","DSL","Yes","Yes","No","No","No","No","Yes","Month-to-Month","Yes","Credit Card"
"CVBI-WUWAC","2530-ENDWQ",71,2,"Yes","Fiber Optic","Yes","Yes","Yes","No","No","No","No","Two Year","Yes","Bank Withdrawal"
"CVDZ-EXPHL","0415-MOSGF",1,0,"Yes","DSL","Yes","Yes","No","No","No","No","No","Month-to-Month","No","Credit Card"
"CVFM-NOXQK","9261-WDCAF",3,0,"Yes","DSL","Yes","Yes","No","No","No","No","No","Month-to-Month","No","Mailed Check"
"CVGZ-MVONX","1794-HBQTJ",1,0,"Yes","Cable","Yes","Yes","No","No","Yes","No","No","Month-to-Month","Yes","Credit Card"
"CVLI-HKVLR","0637-UBJRP",13,5,"Yes","Fiber Optic","Yes","Yes","No","No","Yes","No","No","Month-to-Month","No","Bank Withdrawal"
"CVSE-TOYMY","2410-CIYFZ",2,0,"No","None","No","Yes","No","No","No","No","No","Month-to-Month","No","Mailed Check"
"CVTJ-BAKAU","4135-FRWKJ",55,1,"Yes","Cable","Yes","Yes","Yes","Yes","Yes","No","Yes","One Year","No","Bank Withdrawal"
"CVTW-ZPFVW","0565-JUPYD",63,0,"Yes","Fiber Optic","Yes","Yes","Yes","Yes","Yes","Yes","Yes","One Year","No","Credit Card"
"CVYS-EYLTD","4973-MGTON",71,0,"Yes","DSL","Yes","Yes","No","Yes","Yes","Yes","Yes","Two Year","Yes","Credit Card"
"CVZG-HKYQE","4355-HBJHH",67,0,"Yes","DSL","Yes","Yes","Yes","No","Yes","No","Yes","Two Year","Yes","Bank Withdrawal"
"CWBP-UGGVW","7596-ZYWBB",65,0,"Yes","DSL","No","Yes","No","Yes","Yes","Yes","No","Two Year","Yes","Mailed Check"
"CWDM-LKJEQ","8065-BVEPF",65,0,"Yes","Fiber Optic","Yes","Yes","No","No","No","Yes","Yes","Two Year","Yes","Bank Withdrawal"
"CWEQ-JMVAT","3754-DXMRT",2,0,"Yes","DSL","Yes","Yes","No","No","No","No","No","Month-to-Month","Yes","Bank Withdrawal"
"CWIK-ENTND","0459-SPZHJ",63,1,"Yes","DSL","Yes","Yes","Yes","No","Yes","Yes","Yes","Two Year","No","Credit Card"
"CWNQ-OGHUD","9777-IQHWP",64,2,"Yes","Fiber Optic","Yes","Yes","Yes","No","Yes","No","Yes","Two Year","No","Bank Withdrawal"
"CWQO-AWJRS","5701-YVSVF",11,9,"Yes","Fiber Optic","Yes","Yes","No","Yes","No","No","No","One Year","Yes","Bank Withdrawal"
"CWZQ-SHTEV","3213-VVOLG",10,3,"No","None","No","Yes","Yes","No","No","No","No","Two Year","No","Credit Card"
"CWZS-QLYSN","9040-KZVWO",26,0,"Yes","Fiber Optic","Yes","Yes","No","No","No","Yes","No","One Year","No","Bank Withdrawal"
"CWZZ-OKJZW","3223-DWFIO",4,0,"Yes","Fiber Optic","Yes","Yes","No","No","No","No","No","Two Year","No","Bank Withdrawal"
"CXAN-DPORQ","3733-UOCWF",61,5,"Yes","Fiber Optic","Yes","Yes","Yes","Yes","No","Yes","No","One Year","Yes","Bank Withdrawal"
"CXBM-LRHJR","3474-BAFSJ",57,2,"Yes","DSL","No","No","No","Yes","No","Yes","Yes","Two Year","Yes","Bank Withdrawal"
"CXDI-RGVEN","5387-ASZNZ",66,0,"Yes","DSL","Yes","Yes","Yes","Yes","Yes","Yes","No","One Year","Yes","Credit Card"
"CXFK-WDGKV","5307-UVGNB",53,5,"Yes","Cable","Yes","No","No","No","Yes","Yes","Yes","Month-to-Month","Yes","Bank Withdrawal"
"CXGL-SHKVH","5651-CRHKQ",41,3,"Yes","Fiber Optic","Yes","Yes","No","Yes","No","Yes","Yes","One Year","Yes","Bank Withdrawal"
"CXHP-UWJAO","6240-EURKS",18,0,"Yes","DSL","No","No","No","No","No","No","No","Month-to-Month","Yes","Bank Withdrawal"
"CXIS-XVDVB","4657-FWVFY",40,4,"Yes","Fiber Optic","Yes","Yes","Yes","No","No","Yes","Yes","Month-to-Month","Yes","Credit Card"
"CXJV-QPTRW","9496-IVVRP",11,8,"Yes","DSL","No","Yes","No","No","Yes","No","No","Month-to-Month","No","Bank Withdrawal"
"CXKH-MVKVG","0308-IVGOK",11,0,"Yes","DSL","Yes","No","No","Yes","No","Yes","Yes","One Year","Yes","Credit Card"
"CXMU-LKPFG","0428-IKYCP",22,9,"Yes","Fiber Optic","Yes","Yes","No","No","No","No","Yes","Month-to-Month","Yes","Bank Withdrawal"
"CXND-QBUXT","0961-ZWLVI",49,0,"Yes","Fiber Optic","Yes","Yes","Yes","No","Yes","Yes","Yes","One Year","Yes","Credit Card"
"CXNO-UWLHE","8201-AAXCB",25,1,"Yes","Cable","No","Yes","Yes","No","No","No","No","Month-to-Month","No","Bank Withdrawal"
"CXNX-RUVNV","4701-LKOZD",70,0,"Yes","Cable","No","Yes","Yes","Yes","Yes","Yes","Yes","Two Year","No","Credit Card"
"CXUZ-HWTOM","8149-AIQCG",39,0,"Yes","Fiber Optic","Yes","Yes","Yes","No","No","No","No","Month-to-Month","Yes","Credit Card"
"CXXG-HKLGW","8207-DMRVL",72,1,"Yes","Fiber Optic","No","Yes","Yes","Yes","Yes","Yes","Yes","Two Year","No","Bank Withdrawal"
"CYBJ-XBYAS","9903-LYSAB",18,5,"Yes","Fiber Optic","Yes","Yes","Yes","No","No","No","No","Month-to-Month","Yes","Bank Withdrawal"
"CYBV-BWISH","3866-MDTUB",2,0,"Yes","DSL","Yes","Yes","No","No","Yes","No","No","Month-to-Month","Yes","Bank Withdrawal"
"CYDP-LCTZB","9975-SKRNR",1,0,"No","None","No","Yes","No","No","No","No","No","Month-to-Month","No","Credit Card"
"CYGN-OLCLG","6888-SBYAI",1,0,"Yes","Cable","Yes","Yes","No","No","Yes","No","No","Month-to-Month","Yes","Credit Card"
"CYIZ-UKENV","2959-MJHIC",4,3,"Yes","Fiber Optic","Yes","Yes","No","No","No","No","No","Month-to-Month","Yes","Bank Withdrawal"
"CYMB-ZHFLC","7296-PIXQY",14,0,"Yes","Fiber Optic","Yes","Yes","No","No","No","No","No","Month-to-Month","No","Bank Withdrawal"
"CYMY-IIKTN","6906-MPARY",40,0,"Yes","Fiber Optic","Yes","Yes","No","Yes","No","Yes","No","One Year","Yes","Credit Card"
"CYPX-VFJMM","1848-LBZHY",7,7,"Yes","DSL","Yes","Yes","No","No","Yes","No","No","Month-to-Month","Yes","Bank Withdrawal"
"CZCF-SIVFZ","5930-GBIWP",69,0,"Yes","Cable","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Two Year","Yes","Credit Card"
"CZDX-ICWRL","3982-DQLUS",65,10,"Yes","Fiber Optic","Yes","Yes","Yes","No","Yes","Yes","No","Two Year","Yes","Bank Withdrawal"
"CZEK-STLKE","5393-RXQSZ",1,0,"Yes","Fiber Optic","Yes","Yes","No","No","No","No","No","Month-to-Month","No","Bank Withdrawal"
"CZHT-FWXNC","8681-ICONS",29,5,"No","None","No","Yes","No","No","No","No","No","Month-to-Month","Yes","Mailed Check"
"CZJU-OKLFK","4295-YURET",56,8,"Yes","DSL","No","Yes","No","Yes","Yes","No","No","Two Year","Yes","Credit Card"
"CZMH-HPCGZ","3063-QFSZL",1,0,"Yes","Cable","Yes","Yes","No","No","No","No","No","Month-to-Month","Yes","Bank Withdrawal"
"CZUH-ZBPPR","5124-EOGYE",31,0,"No","None","No","Yes","No","No","No","No","No","Two Year","No","Credit Card"
"CZVX-SHHCU","4488-PSYCG",16,0,"No","None","No","Yes","No","No","No","No","No","Month-to-Month","No","Bank Withdrawal"
"CZWE-XKNQM","2789-CZANW",64,7,"Yes","Fiber Optic","Yes","Yes","Yes","Yes","Yes","Yes","No","Two Year","No","Bank Withdrawal"
"DADT-ASFTU","7579-OOPEC",2,1,"Yes","DSL","Yes","Yes","No","No","No","Yes","No","Month-to-Month","No","Credit Card"
"DAEL-ZAOOK","4979-HPRFL",56,1,"No","None","No","Yes","Yes","No","No","No","No","Two Year","No","Bank Withdrawal"
"DALU-WJSMM","4578-PHJYZ",52,9,"Yes","Cable","Yes","Yes","No","Yes","No","Yes","Yes","One Year","Yes","Bank Withdrawal"
"DALV-TIVPO","8406-LNMHF",59,10,"Yes","Fiber Optic","Yes","Yes","No","No","Yes","Yes","Yes","One Year","Yes","Credit Card"
"DAMZ-PFTUO","3319-DWOEP",6,0,"Yes","Fiber Optic","Yes","Yes","No","No","No","No","Yes","Month-to-Month","Yes","Bank Withdrawal"
"DAOC-GUFMD","7599-NTMDP",62,6,"Yes","Cable","No","No","No","Yes","Yes","Yes","No","Two Year","No","Bank Withdrawal"
"DARZ-FYRSZ","7243-LCGGZ",1,0,"No","None","No","Yes","No","No","No","No","No","Month-to-Month","No","Mailed Check"
"DASF-JOUUR","2696-RZVZW",68,4,"No","None","No","Yes","Yes","No","No","No","No","Two Year","No","Credit Card"
"DASO-HGYAU","0701-TJSEF",9,0,"Yes","Cable","Yes","Yes","No","Yes","Yes","No","Yes","Month-to-Month","Yes","Bank Withdrawal"
"DAWA-HKMME","4083-BFNYK",38,1,"Yes","Fiber Optic","No","Yes","Yes","No","Yes","Yes","No","One Year","No","Credit Card"
"DAZI-OUSPM","3134-DSHVC",63,0,"Yes","Fiber Optic","Yes","Yes","Yes","No","Yes","Yes","Yes","Two Year","No","Credit Card"
"DAZQ-MQFWL","7975-TZMLR",47,0,"Yes","Fiber Optic","Yes","Yes","Yes","No","No","Yes","Yes","One Year","Yes","Bank Withdrawal"
"DBBD-QGXQP","3363-EWLGO",5,0,"No","None","No","Yes","No","No","No","No","No","Month-to-Month","No","Credit Card"
"DBBZ-BPIWF","9415-TPKRV",8,1,"Yes","DSL","Yes","Yes","Yes","No","No","Yes","No","Month-to-Month","No","Bank Withdrawal"
"DBFV-OTDVP","8816-VXNZD",1,0,"Yes","Fiber Optic","Yes","Yes","Yes","No","No","No","No","Month-to-Month","Yes","Bank Withdrawal"
"DBJM-GQWLZ","6265-FRMTQ",31,0,"No","None","No","Yes","No","No","No","No","No","Two Year","No","Bank Withdrawal"
"DBKM-ZSHEU","7580-UGXNC",2,0,"Yes","DSL","Yes","Yes","No","No","Yes","Yes","No","Month-to-Month","No","Credit Card"
"DBMP-JGRYG","4307-KTUMW",53,1,"Yes","Fiber Optic","Yes","Yes","Yes","No","Yes","No","Yes","Month-to-Month","No","Bank Withdrawal"
"DBNG-KIWNB","6304-IJFSQ",3,0,"Yes","Cable","Yes","Yes","No","No","No","Yes","No","Month-to-Month","Yes","Credit Card"
"DBSL-DBBEF","1216-JWVUX",25,4,"Yes","Fiber Optic","Yes","Yes","No","No","No","Yes","No","Month-to-Month","Yes","Bank Withdrawal"
"DBTV-YIYAG","9108-EQPNQ",10,10,"No","None","No","Yes","Yes","No","No","No","No","Two Year","No","Credit Card"
"DBUI-OSGQB","9621-OUPYD",25,2,"No","None","No","Yes","No","No","No","No","No","One Year","Yes","Bank Withdrawal"
"DBXD-YUOON","8361-LTMKD",4,0,"Yes","Fiber Optic","No","Yes","Yes","No","No","No","No","Month-to-Month","Yes","Mailed Check"
"DCBB-KDBLB","2320-TZRRH",20,0,"No","None","No","Yes","No","No","No","No","No","One Year","No","Credit Card"
"DCFC-KLWEH","2550-QHZGP",7,0,"No","None","No","Yes","No","No","No","No","No","One Year","No","Credit Card"
"DCHH-VMRLA","8645-KWHJO",14,0,"Yes","DSL","Yes","No","No","Yes","No","No","Yes","Month-to-Month","Yes","Bank Withdrawal"
"DCME-CKOPR","6082-GLJIX",18,0,"No","None","No","Yes","No","No","No","No","No","Month-to-Month","No","Credit Card"
"DCPN-NQQMM","2697-NQBPF",34,0,"Yes","Fiber Optic","Yes","Yes","Yes","Yes","No","Yes","No","Month-to-Month","Yes","Bank Withdrawal"
"DCQL-QKUZW","3275-RHRNE",28,8,"Yes","DSL","Yes","No","No","Yes","No","Yes","Yes","One Year","Yes","Credit Card"
"DCQS-CNEXF","8098-LLAZX",4,0,"Yes","Fiber Optic","Yes","Yes","Yes","No","No","No","No","Month-to-Month","Yes","Bank Withdrawal"
"DCRG-APHJS","5726-CVNYA",8,8,"No","None","No","Yes","No","No","No","No","No","Two Year","Yes","Credit Card"
"DCRW-MXEKE","2234-XADUH",72,4,"Yes","Fiber Optic","Yes","Yes","Yes","No","No","Yes","Yes","One Year","Yes","Credit Card"
"DCTI-VPCVH","7629-WFGLW",56,10,"Yes","Fiber Optic","Yes","Yes","Yes","Yes","Yes","Yes","Yes","One Year","No","Bank Withdrawal"
"DCUM-KMDZP","8338-QIUNR",72,8,"Yes","DSL","Yes","Yes","Yes","Yes","Yes","No","Yes","Two Year","Yes","Credit Card"
"DDAH-UGTQC","5474-LAMUQ",24,9,"No","None","No","Yes","No","No","No","No","No","One Year","No","Credit Card"
"DDGI-SGNUL","0746-JTRFU",2,0,"Yes","Cable","Yes","No","No","No","No","No","No","Month-to-Month","Yes","Bank Withdrawal"
"DDHJ-KYRTQ","2725-IWWBA",46,9,"Yes","DSL","Yes","Yes","No","Yes","Yes","No","Yes","One Year","No","Credit Card"
"DDIC-JIRTR","8622-ZLFKO",6,1,"Yes","Fiber Optic","Yes","Yes","Yes","No","No","Yes","No","Month-to-Month","Yes","Bank Withdrawal"
"DDOL-KPKSW","6627-CFOSN",59,0,"Yes","Fiber Optic","No","Yes","Yes","No","Yes","Yes","Yes","Month-to-Month","Yes","Bank Withdrawal"
"DDRS-LFEIB","4078-SAYYN",11,0,"Yes","Fiber Optic","Yes","Yes","Yes","No","No","No","Yes","Month-to-Month","Yes","Bank Withdrawal"
"DDUQ-KLXBI","1866-ZSLJM",21,0,"No","None","No","Yes","No","No","No","No","No","Month-to-Month","No","Credit Card"
"DDYK-KYZVE","9114-AAFQH",48,6,"Yes","DSL","Yes","Yes","No","No","No","Yes","Yes","One Year","Yes","Bank Withdrawal"
"DECF-UMHFQ","7905-NJMXS",7,2,"Yes","Cable","Yes","Yes","Yes","Yes","Yes","Yes","No","Two Year","No","Bank Withdrawal"
"DEDS-ZLQSG","8398-TBIYD",72,0,"Yes","Fiber Optic","Yes","Yes","Yes","Yes","Yes","No","No","Two Year","Yes","Bank Withdrawal"
"DEDZ-KMJAN","0319-QZTCO",3,9,"Yes","DSL","Yes","Yes","No","No","No","Yes","No","Month-to-Month","Yes","Credit Card"
"DEFI-WAFIK","8705-WZCYL",1,0,"Yes","DSL","Yes","Yes","No","No","No","No","No","Month-to-Month","Yes","Bank Withdrawal"
"DEGQ-XVDRC","2189-WWOEW",15,0,"Yes","Fiber Optic","Yes","Yes","No","No","No","Yes","No","Month-to-Month","Yes","Bank Withdrawal"
"DEHM-TWHOE","7463-IFMQU",72,1,"No","None","No","Yes","No","No","No","No","No","Two Year","No","Bank Withdrawal"
"DEIJ-ATUDE","6693-DJWTY",35,0,"Yes","DSL","Yes","Yes","No","No","Yes","Yes","No","One Year","No","Credit Card"
"DEJD-TRRGW","0463-ZSDNT",10,0,"Yes","DSL","No","Yes","No","No","No","No","No","Month-to-Month","Yes","Bank Withdrawal"
"DEMQ-MFXWC","0016-QLJIS",65,3,"Yes","Cable","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Two Year","Yes","Credit Card"
"DEQE-XOQWN","0988-JRWWP",3,0,"Yes","DSL","Yes","Yes","No","No","No","No","No","Month-to-Month","Yes","Bank Withdrawal"
"DESD-WFMGP","0504-HHAPI",27,0,"Yes","Fiber Optic","Yes","Yes","Yes","No","No","No","Yes","Month-to-Month","No","Credit Card"
"DEUX-SRNOP","4320-QMLLA",7,0,"Yes","DSL","Yes","Yes","No","No","No","No","No","Month-to-Month","No","Mailed Check"
"DEWS-MHWOK","4625-LAMOB",44,0,"No","None","No","Yes","No","No","No","No","No","Two Year","No","Credit Card"
"DEYV-ERVJL","1513-XNPPH",12,0,"Yes","Fiber Optic","Yes","Yes","No","Yes","No","No","Yes","Month-to-Month","Yes","Bank Withdrawal"
"DFCR-GBCYK","8433-WXGNA",2,0,"Yes","Cable","Yes","Yes","No","No","Yes","No","No","Month-to-Month","Yes","Bank Withdrawal"
"DFDV-MNYAT","3794-NFNCH",30,10,"Yes","DSL","Yes","Yes","No","No","No","No","Yes","Month-to-Month","Yes","Credit Card"
"DFEI-WSNOJ","6710-HSJRD",61,8,"Yes","Fiber Optic","Yes","Yes","Yes","Yes","No","Yes","Yes","Month-to-Month","Yes","Bank Withdrawal"
"DFEP-INXZC","7508-MYBOG",14,1,"Yes","Fiber Optic","Yes","Yes","Yes","No","No","No","No","Month-to-Month","Yes","Bank Withdrawal"
"DFHI-HMOAD","3785-NRHYR",1,0,"No","None","No","Yes","No","No","No","No","No","Month-to-Month","No","Credit Card"
"DFIH-KQBOI","8631-WUXGY",46,0,"Yes","Fiber Optic","Yes","Yes","No","No","No","Yes","Yes","Month-to-Month","Yes","Bank Withdrawal"
"DFLZ-VSPDA","4323-SADQS",7,2,"Yes","Cable","Yes","No","No","Yes","Yes","No","No","Month-to-Month","Yes","Bank Withdrawal"
"DFMG-DVFUL","7774-OJSXI",31,0,"Yes","Fiber Optic","Yes","Yes","Yes","No","No","Yes","Yes","One Year","Yes","Bank Withdrawal"
"DFOH-ZUCXS","9135-MGVPY",69,10,"Yes","DSL","Yes","Yes","No","Yes","Yes","Yes","Yes","Two Year","Yes","Credit Card"
"DFPD-ONMVN","6248-TKCQV",70,5,"Yes","DSL","Yes","Yes","Yes","Yes","Yes","No","No","Two Year","Yes","Bank Withdrawal"
"DFPI-RPQJC","5847-MXBEO",22,0,"No","None","No","Yes","No","No","No","No","No","One Year","No","Credit Card"
"DFQH-TTDNM","4501-VCPFK",26,0,"Yes","Cable","Yes","No","No","Yes","No","No","Yes","Month-to-Month","No","Bank Withdrawal"
"DFQI-KJMGF","5482-VXSXJ",22,0,"Yes","Fiber Optic","Yes","Yes","No","No","No","Yes","No","Month-to-Month","Yes","Credit Card"
"DFRX-IOWIW","1599-EAHXY",60,1,"No","None","No","Yes","Yes","No","No","No","No","One Year","No","Credit Card"
"DFUK-UXIUX","8782-NUUOL",60,0,"Yes","DSL","Yes","Yes","No","Yes","Yes","No","Yes","One Year","No","Credit Card"
"DFYP-MIBAZ","7459-IMVYU",38,0,"Yes","DSL","No","Yes","Yes","Yes","Yes","Yes","Yes","Month-to-Month","No","Bank Withdrawal"
