"account_id","avg_long_distance_fee_monthly","total_long_distance_fee","avg_gb_download_monthly","stream_tv","stream_movie","stream_music","total_monthly_fee","total_charges_quarter","total_refunds"
"DSWZ-ZAKJN",37.04,1185.28,28,"No","Yes","Yes",85.65,2664.3,0.0
"DSXR-XJNJG",0.0,0.0,21,"Yes","Yes","No",55.55,2342.2,0.0
"DSZC-JUAUA",8.38,8.38,19,"No","No","No",49.25,49.25,0.0
"DTBV-DEBFX",46.61,3169.48,0,"No","No","No",19.35,1292.65,0.0
"DTDD-UVDIK",20.05,200.5,0,"No","No","No",20.0,200.0,0.0
"DTHN-JSVJX",14.07,28.14,6,"No","Yes","Yes",85.7,169.8,0.0
"DTQV-EGHFL",47.68,143.04,82,"Yes","No","Yes",53.4,188.7,0.0
"DTUJ-YKCZD",42.92,1888.48,23,"Yes","Yes","Yes",100.55,4398.15,0.0
"DTWE-GLZPE",44.2,3182.4,2,"Yes","Yes","Yes",109.55,8165.1,0.0
"DTZL-CICPO",25.11,954.18,13,"Yes","Yes","Yes",84.1,3187.65,0.0
"DUBF-CSWYZ",27.21,244.89,29,"Yes","Yes","Yes",94.4,857.25,0.0
"DUCC-LWHDZ",36.63,36.63,0,"No","No","No",19.9,19.9,0.0
"DUEV-EVRRG",32.12,1830.84,15,"Yes","Yes","No",104.9,5913.95,1.69
"DUFC-VOPKQ",18.87,471.75,0,"No","No","No",19.9,505.45,0.0
"DUFY-DYKXX",20.29,202.9,0,"No","No","No",19.75,208.25,0.0
"DUKQ-MBIIE",10.11,131.43,0,"No","No","No",19.75,265.75,0.0
"DUKY-URTQV",16.42,985.2,0,"No","No","No",24.15,1505.9,0.0
"DUOW-KAPIU",1.53,53.55,57,"Yes","No","No",89.7,3165.6,0.0
"DUQI-CCNHE",5.49,351.36,69,"Yes","No","No",81.25,5567.55,0.0
"DUTP-YZARJ",9.01,243.27,5,"No","No","No",48.7,1421.75,0.0
"DUYK-CFFVF",45.83,412.47,0,"No","No","No",20.4,184.1,0.0
"DVCJ-UWRCR",24.48,1517.76,0,"No","No","No",20.0,1250.1,0.0
"DVHT-CUUUI",37.0,2368.0,19,"Yes","Yes","Yes",90.6,5817.45,0.0
"DVJS-TFMNA",39.2,509.6,25,"No","Yes","Yes",63.15,816.8,0.0
"DVKC-GJXCU",19.52,39.04,16,"No","No","No",45.85,81.0,0.0
"DVLP-QRQRR",48.39,387.12,0,"No","No","No",19.9,153.95,0.0
"DVNE-CJLYD",22.01,286.13,0,"No","No","No",20.3,275.4,0.0
"DVNI-QZRVP",41.11,1109.97,14,"No","No","No",85.9,2220.1,0.0
"DVPQ-SLNLG",3.91,277.61,12,"Yes","No","No",99.65,7181.25,0.0
"DVPS-VSTCF",46.47,929.4,0,"No","No","No",20.65,417.5,0.0
"DVSL-TWDRO",48.69,2288.43,21,"Yes","Yes","Yes",104.1,5135.15,0.0
"DVTE-VTQGR",30.14,90.42,6,"No","No","No",45.0,127.1,0.0
"DVVU-UFILC",19.48,233.76,0,"No","No","No",19.0,233.55,0.0
"DVWL-NTYOW",20.54,1478.88,41,"Yes","Yes","Yes",85.1,6155.4,0.0
"DVWY-MYXXA",47.5,142.5,22,"Yes","Yes","Yes",107.95,313.6,0.0
"DVZF-ELNRY",46.78,374.24,24,"Yes","No","No",60.0,487.75,0.0
"DWAK-HMQJR",16.07,192.84,14,"No","Yes","Yes",99.7,1238.45,0.0
"DWDP-UKITP",13.02,52.08,15,"No","No","No",70.2,237.95,0.0
"DWEO-MOLKN",5.69,330.02,10,"Yes","Yes","Yes",100.35,5681.1,0.0
"DWFZ-MDTXC",3.41,235.29,41,"Yes","Yes","Yes",112.55,7806.5,0.0
"DWGI-OADRI",41.98,167.92,0,"No","No","No",20.05,91.45,0.0
"DWHY-QOTZY",7.66,7.66,0,"No","No","No",20.05,20.05,0.0
"DWOU-SGSNC",22.55,1172.6,0,"No","No","No",20.65,1022.95,0.0
"DWQM-DCTLH",29.68,385.84,22,"No","No","No",49.95,587.45,0.0
"DWSB-MWRYO",30.49,823.23,16,"No","No","No",70.55,1943.9,29.99
"DWST-YRIZG",10.2,612.0,29,"No","Yes","Yes",71.75,4374.55,0.0
"DXBF-KGEZN",18.03,1153.92,42,"No","Yes","Yes",74.35,4759.55,0.0
"DXBZ-ZVSJV",47.34,852.12,7,"No","No","No",58.4,964.9,0.0
"DXGL-ZDCZO",15.02,916.22,0,"No","No","No",19.75,1124.2,0.0
"DXIV-FENXI",37.18,1375.66,9,"Yes","No","No",64.65,2347.85,0.0
"DXJF-FSZDH",6.23,186.9,4,"No","No","No",79.65,2365.15,0.0
"DXOL-KBCOY",21.3,298.2,42,"No","Yes","Yes",85.15,1139.2,38.48
"DXOO-AUKGV",22.41,1434.24,24,"Yes","Yes","Yes",99.15,6171.2,0.0
"DXOU-TCMJO",12.19,853.3,42,"Yes","Yes","Yes",104.0,7250.15,0.0
"DXPQ-RDGZC",42.93,429.3,52,"Yes","No","No",91.1,964.35,0.0
"DXRG-DDGTS",25.57,715.96,0,"No","No","No",25.7,734.6,0.0
"DXTI-KMRSP",20.49,799.11,0,"No","No","No",25.2,987.95,0.0
"DXTV-GOFDO",17.88,894.0,0,"No","No","No",19.35,1033.0,29.5
"DXXB-NYAHV",27.47,933.98,51,"Yes","Yes","Yes",116.15,3946.9,0.0
"DXXV-MBYAJ",5.17,36.19,51,"Yes","Yes","Yes",69.7,516.15,0.0
"DYAF-JXZEB",48.41,3291.88,0,"No","No","No",20.5,1424.9,0.0
"DYCC-JJFEW",0.0,0.0,59,"No","No","No",43.25,219.0,0.0
"DYCR-EZHYR",27.79,2000.88,10,"Yes","Yes","No",105.0,7578.05,0.0
"DYER-FHZJM",26.67,1520.19,0,"No","No","No",20.1,1087.7,0.0
"DYJF-COIRD",39.37,1692.91,23,"Yes","Yes","Yes",100.0,4211.55,0.0
"DYTU-UUOHQ",0.0,0.0,16,"No","No","No",24.25,96.05,0.0
"DYUX-YZDYX",0.0,0.0,23,"No","Yes","No",45.0,1228.65,0.0
"DYYD-ZWRAP",33.06,1586.88,0,"No","No","No",20.05,1036.0,0.0
"DYYI-ZFKJD",13.65,245.7,5,"Yes","No","No",90.0,1527.35,0.0
"DZEM-SRWDF",18.75,225.0,25,"No","Yes","Yes",86.55,1066.9,0.0
"DZGM-LTFXO",47.72,668.08,22,"No","No","No",86.0,1164.05,0.0
"DZGT-LJQYQ",39.59,475.08,0,"No","No","No",25.25,274.7,0.0
"DZMH-QLOAZ",2.88,97.92,4,"No","Yes","No",94.25,3217.55,0.0
"DZQJ-ZMREB",45.69,456.9,11,"Yes","Yes","Yes",95.1,865.1,43.25
"DZRX-WNJNU",44.35,2261.85,0,"No","No","No",24.95,1288.0,0.0
"DZSG-JPXZI",27.84,306.24,59,"Yes","No","No",61.25,729.95,0.0
"DZYM-PSAXC",0.0,0.0,17,"No","No","No",36.05,402.6,0.0
"DZYO-VYSOL",4.15,136.95,0,"No","No","No",20.05,669.45,0.0
"DZZL-UQBLF",0.0,0.0,13,"No","No","No",29.8,220.45,11.83
"EAAN-PYLSF",0.0,0.0,2,"No","Yes","Yes",44.45,2181.55,0.0
"EAIH-KJCNR",0.0,0.0,21,"No","No","No",23.45,23.45,0.0
"EAPF-VMNKN",26.63,346.19,27,"No","No","Yes",44.0,659.35,0.0
"EARV-FKEZK",44.69,44.69,0,"No","No","No",20.2,20.2,0.0
"EAUO-ZMPHV",19.75,1343.0,0,"No","No","No",19.95,1303.25,0.0
"EAUS-JYRUR",42.52,212.6,0,"No","No","No",20.65,93.55,0.0
"EAZT-XPMEH",9.85,403.85,14,"Yes","Yes","Yes",104.45,4162.05,0.0
"EBEZ-ZNLXN",15.76,977.12,59,"Yes","No","Yes",94.95,5791.85,0.0
"EBGF-XTEFL",17.28,259.2,0,"No","No","No",19.65,332.65,0.0
"EBMC-CHEHF",0.0,0.0,27,"No","No","No",29.2,309.1,0.0
"EBNQ-ZWFEI",36.5,2518.5,0,"No","No","No",24.6,1678.05,28.42
"EBTU-TMZLI",22.65,1313.7,25,"No","No","No",44.1,2413.05,0.0
"EBVC-LDWAG",33.78,675.6,18,"No","Yes","Yes",64.15,1274.45,0.0
"ECCE-WASDF",15.86,126.88,0,"No","No","No",20.25,174.65,0.0
"ECGI-EDQSM",30.79,123.16,0,"No","No","No",20.4,94.5,0.0
"ECGY-EUEQI",46.23,46.23,25,"No","No","No",47.95,47.95,0.0
"ECIV-MCPYE",20.42,939.32,16,"Yes","Yes","No",110.2,4972.1,0.0
"ECKN-ONAFD",26.87,53.74,52,"No","No","No",75.9,143.35,0.0
"ECLV-AYEQS",6.34,12.68,28,"No","No","No",50.2,109.25,0.0
"ECPM-SSZBO",23.7,1706.4,85,"Yes","Yes","Yes",110.15,7881.2,0.0
"ECQO-KEITE",0.0,0.0,26,"Yes","Yes","Yes",50.95,229.4,0.0
"ECQO-OYEDK",4.32,306.72,41,"Yes","Yes","Yes",113.65,8166.8,0.0
"ECTZ-SWIDR",21.98,1318.8,0,"No","No","No",19.65,1161.75,0.0
"EDAV-FEMRQ",48.58,48.58,21,"No","No","No",46.2,46.2,0.0
"EDBZ-YEIYW",9.58,114.96,57,"No","No","No",49.2,571.15,0.0
"EDGT-VVENH",8.53,614.16,0,"No","No","No",19.95,1322.85,0.0
"EDIV-KSDJL",29.11,116.44,9,"No","No","No",75.35,338.1,0.0
"EDMR-KJECD",23.46,46.92,25,"No","No","No",75.45,158.4,0.0
"EDRJ-TSFHQ",35.04,1927.2,57,"Yes","Yes","Yes",103.7,5656.75,0.0
"EDRT-EINDD",31.7,190.2,0,"No","No","No",19.5,146.3,0.0
"EDRV-VYUUB",43.37,260.22,12,"No","Yes","Yes",87.95,522.35,0.0
"EDUI-ZPLPU",8.82,590.94,0,"No","No","No",20.8,1411.9,0.0
"EDXH-ZZNCL",21.8,21.8,42,"No","No","No",74.25,74.25,0.0
"EDXV-FLQBX",32.5,1950.0,13,"Yes","Yes","Yes",97.2,5611.75,0.0
"EDYY-BOJOW",6.12,128.52,51,"Yes","Yes","Yes",99.15,1956.4,0.0
"EDZA-RUIFC",27.04,351.52,10,"No","No","No",56.0,764.55,0.0
"EDZT-RXMVD",12.58,540.94,26,"Yes","No","No",90.25,3838.75,0.0
"EEAL-ZMZLW",40.5,1215.0,8,"Yes","Yes","No",74.85,2181.75,0.0
"EEBJ-XSFWZ",39.84,1035.84,42,"No","No","No",54.75,1406.9,0.0
"EEDN-UBKKZ",0.0,0.0,48,"No","No","No",40.2,711.95,0.0
"EEFB-LSWED",0.0,0.0,51,"No","No","No",25.3,25.3,0.0
"EEIO-TJHLO",10.46,104.6,0,"No","No","No",21.2,222.65,0.0
"EEIO-YGADJ",31.02,620.4,0,"No","No","No",19.4,415.4,0.0
"EELX-IZXAG",46.06,1427.86,18,"Yes","No","No",89.45,2807.65,31.58
"EENQ-DEICN",38.8,38.8,4,"No","No","No",70.0,70.0,0.0
"EENQ-VDUDD",14.61,599.01,9,"Yes","Yes","Yes",101.1,4016.2,0.0
"EENU-FRUFU",32.36,1585.64,2,"Yes","Yes","No",96.2,4718.25,0.0
"EEOY-CYZTZ",17.3,467.1,0,"No","No","No",20.05,552.9,0.0
"EEQY-UDVZH",17.6,17.6,2,"No","No","No",71.25,71.25,0.0
"EETM-TIRNJ",19.9,1014.9,59,"No","Yes","Yes",90.15,4554.85,0.0
"EETO-KCKTR",4.09,4.09,0,"No","No","No",20.3,20.3,0.0
"EEVE-CAGRB",32.67,1894.86,14,"Yes","Yes","Yes",99.15,5720.95,0.0
"EEYE-VKIAZ",43.01,1290.3,4,"Yes","Yes","Yes",85.35,2530.4,0.0
"EEZI-UUSUZ",17.4,174.0,0,"No","No","No",20.35,176.3,0.0
"EFGP-PADIU",0.0,0.0,20,"Yes","Yes","Yes",44.55,174.3,0.0
"EFJS-ZJLCV",12.91,710.05,21,"Yes","Yes","No",113.6,6292.7,0.0
"EFKO-KUXWS",37.48,1199.36,13,"No","Yes","Yes",84.15,2585.95,0.0
"EFQZ-PLEAW",42.45,764.1,28,"No","Yes","Yes",64.8,1166.7,0.0
"EFSB-ZGSVR",26.36,1528.88,8,"No","No","No",61.05,3478.75,0.0
"EFSM-ETUDF",13.01,13.01,12,"No","Yes","Yes",54.75,54.75,0.0
"EFTT-XTRDP",35.11,2141.71,17,"Yes","Yes","No",104.4,6405.0,0.0
"EFUE-DWGTR",41.08,739.44,48,"No","No","No",80.55,1406.65,0.0
"EFWC-NORWZ",46.7,2708.6,19,"Yes","Yes","Yes",107.75,6332.75,0.0
"EFXU-CFUGL",17.18,532.58,76,"No","No","No",81.7,2548.65,0.0
"EFZY-GDLQA",9.5,484.5,51,"No","No","No",84.2,4299.75,39.68
"EGDY-OUIKZ",36.68,1980.72,28,"Yes","Yes","Yes",80.6,4299.95,0.0
"EGFE-GFEET",2.72,171.36,22,"Yes","Yes","Yes",102.6,6296.75,0.0
"EGLU-URFBK",8.91,222.75,10,"Yes","Yes","Yes",104.95,2566.5,0.0
"EGQW-JFITR",23.24,581.0,25,"No","Yes","Yes",89.1,2368.4,0.0
"EGRB-BBIZC",0.0,0.0,29,"No","No","Yes",24.8,24.8,0.0
"EGRG-ADXGY",48.15,625.95,6,"No","Yes","Yes",93.8,1261.0,0.0
"EGYJ-ZZSEI",26.13,339.69,28,"No","No","No",70.15,886.7,8.53
"EGZT-IEJXV",28.62,200.34,26,"No","No","Yes",73.85,511.25,13.03
"EHBI-IWAVM",8.54,119.56,0,"No","No","No",19.6,300.4,0.0
"EHDM-QKAHN",6.13,361.67,2,"No","No","No",79.2,4590.35,0.0
"EHFY-MLSTZ",17.84,17.84,20,"No","No","No",74.3,74.3,0.0
"EHGC-FVWZW",17.67,1095.54,19,"Yes","Yes","Yes",104.05,6590.5,0.0
"EHKR-VDCRX",19.19,326.23,22,"Yes","No","No",89.4,1539.45,0.0
"EHLZ-VFYQY",22.64,679.2,18,"Yes","No","No",68.95,2038.7,0.0
"EHME-PBKUQ",2.98,8.94,3,"Yes","No","No",79.9,260.9,0.0
"EHMP-VPAPI",6.78,54.24,24,"No","No","No",43.45,345.5,0.0
"EHMY-OWVGZ",26.52,79.56,10,"No","No","No",75.1,270.7,0.0
"EHOW-UBHTI",33.98,339.8,59,"No","No","No",54.5,568.2,0.0
"EHRL-DYHJC",43.8,262.8,5,"Yes","Yes","Yes",93.55,536.4,0.0
"EIBW-YSIJK",41.12,164.48,42,"No","No","Yes",70.4,281.0,0.0
"EIDH-FUQVI",30.83,277.47,0,"No","No","No",20.35,191.1,0.0
"EIDW-GPDRS",1.06,18.02,25,"No","No","No",82.65,1470.05,0.0
"EIFN-SMCVL",43.48,2652.28,20,"No","Yes","Yes",80.8,4860.85,17.17
"EIHR-QVRUO",16.64,16.64,2,"Yes","Yes","Yes",89.25,89.25,0.0
"EIMK-XPGQS",18.63,18.63,0,"No","No","No",20.15,20.15,0.0
"EIRU-RPFRK",40.19,884.18,27,"Yes","No","No",85.35,1961.6,0.0
"EISC-CIRTZ",6.51,305.97,0,"No","No","No",20.05,951.55,0.0
"EIVQ-ROHKY",5.36,5.36,19,"Yes","Yes","Yes",89.35,89.35,0.0
"EIYG-URPLX",0.0,0.0,2,"No","No","No",29.15,110.05,0.0
"EJDH-BWVBJ",25.86,1499.88,0,"No","No","No",20.5,1191.4,36.92
"EJDJ-PVPAS",30.17,1116.29,0,"No","No","No",19.8,695.05,0.0
"EJDT-RULCN",6.24,162.24,25,"Yes","No","No",89.8,2335.3,0.0
"EJEW-MLMRW",9.14,100.54,19,"No","No","No",74.35,834.2,0.0
"EJFZ-XQUNL",0.0,0.0,24,"Yes","No","No",38.1,970.4,0.0
"EJGK-NATUQ",23.41,1662.11,53,"Yes","Yes","Yes",85.45,6300.85,0.0
"EJIL-HPKIH",31.73,761.52,13,"No","No","No",70.0,1732.6,0.0
"EJLT-PCQDP",40.99,532.87,21,"Yes","Yes","Yes",73.35,931.55,49.02
"EJNA-UNBRG",8.06,48.36,19,"Yes","Yes","No",89.35,567.8,0.0
"EJNP-PAFIT",35.81,429.72,0,"No","No","No",19.45,227.45,0.0
"EJOZ-HSKVT",0.0,0.0,21,"No","No","No",24.3,100.2,0.0
"EJPW-YMMSO",6.25,181.25,21,"Yes","Yes","No",94.45,2653.65,0.0
"EJRA-ZBUXS",9.18,459.0,2,"Yes","Yes","Yes",108.75,5431.9,0.0
"EJTJ-RBYLZ",11.83,11.83,0,"No","No","No",19.9,19.9,0.0
"EJTO-HZPJJ",25.72,1388.88,0,"No","No","No",19.65,1008.7,0.0
"EJUR-YPYKQ",13.04,208.64,16,"No","No","No",74.75,1129.35,39.99
"EJUS-ZLDXD",24.31,48.62,16,"No","No","No",75.8,160.75,0.0
"EJXQ-HUCOZ",31.53,1765.68,0,"No","No","No",24.45,1385.85,0.0
"EKDR-OWLMU",0.0,0.0,29,"Yes","Yes","Yes",49.95,810.2,0.0
"EKRW-SSBWD",25.99,25.99,0,"No","No","No",20.0,20.0,0.0
"EKWC-AHKFD",0.0,0.0,20,"Yes","No","No",55.0,1165.55,0.0
"EKYF-OWMMW",2.83,192.44,0,"No","No","No",20.05,1386.9,0.0
"EKZG-BHMND",11.12,756.16,10,"No","Yes","Yes",70.8,4859.95,0.0
"ELDQ-FTAPV",42.45,2929.05,27,"Yes","No","No",95.75,6511.25,0.0
"ELEA-EASHW",23.33,839.88,23,"Yes","No","No",90.85,3186.7,0.0
"ELSQ-DLKTV",31.88,95.64,7,"Yes","No","No",78.5,242.05,0.0
"ELVR-EZMNE",12.27,61.35,20,"No","Yes","No",78.95,378.4,0.0
"EMBS-CPWIZ",17.77,870.73,13,"Yes","No","No",66.15,3199.0,0.0
"EMEB-KUFYA",1.87,20.57,0,"No","No","No",25.2,245.15,0.0
"EMHR-GTQNU",47.9,2778.2,0,"No","No","No",24.7,1519.0,0.0
"EMLW-EFOBJ",9.05,9.05,21,"No","No","No",75.7,75.7,0.0
"EMRP-BFUQK",23.55,1624.95,0,"No","No","No",20.2,1376.5,0.0
"EMUG-QDFPH",48.53,3154.45,9,"Yes","Yes","No",108.8,7082.45,21.52
"EMWW-SHCTY",38.98,2611.66,16,"Yes","Yes","Yes",105.4,6989.45,0.0
"EMXB-MFCRU",20.36,122.16,10,"Yes","Yes","Yes",109.9,669.45,0.0
"EMYQ-OCPJA",13.67,478.45,0,"No","No","No",25.45,809.25,0.0
"EMZE-LNLUU",6.38,165.88,0,"No","No","No",19.4,525.55,4.25
"EMZW-MATSS",27.11,542.2,27,"No","Yes","No",61.6,1174.35,0.0
"ENES-HHYFJ",41.2,2678.0,10,"Yes","Yes","Yes",104.25,6812.95,0.0
"ENIU-PAGIT",41.93,209.65,0,"No","No","No",19.65,92.05,0.0
"ENLK-PFWAX",25.4,660.4,10,"Yes","No","No",69.5,1800.05,0.0
"ENLL-VWOIH",12.28,675.4,48,"No","No","No",59.2,3175.85,0.0
"ENNP-XYDKE",13.94,780.64,11,"Yes","Yes","Yes",109.6,5953.0,0.0
"ENOI-SLSOH",19.75,493.75,0,"No","No","No",24.75,692.1,0.0
"ENQA-KMNIZ",29.03,2090.16,27,"Yes","Yes","Yes",84.3,5997.1,0.0
"ENQT-GDEHK",13.8,538.2,13,"No","No","No",59.8,2343.85,0.0
"ENRL-KQYYB",0.0,0.0,11,"Yes","Yes","Yes",54.4,3723.65,25.62
"ENSA-FKVEV",20.85,729.75,0,"No","No","No",19.6,686.95,0.0
"ENSK-WBGFG",34.13,2320.84,25,"Yes","Yes","Yes",72.95,4953.25,0.0
"ENSV-MOUUN",34.37,1271.69,0,"No","No","No",20.15,785.75,0.0
"ENTE-COKVZ",31.85,605.15,0,"No","No","No",20.15,387.7,2.97
"ENTI-HEQTC",35.1,1228.5,29,"Yes","Yes","No",95.45,3474.05,0.0
"ENUG-YTBFL",18.42,810.48,22,"No","No","No",50.15,2139.1,0.0
"ENUL-BLWQV",0.0,0.0,18,"Yes","Yes","Yes",63.9,3334.95,0.0
"ENVQ-NEWRJ",17.87,518.23,26,"No","Yes","Yes",66.1,1912.15,0.0
"ENWD-HEVBF",20.34,183.06,7,"No","Yes","Yes",80.8,713.1,0.0
"ENWK-RZMQI",43.12,3104.64,6,"Yes","Yes","Yes",115.8,8424.9,0.0
"ENWO-XHQUT",35.86,860.64,0,"No","No","No",20.4,482.8,0.0
"ENZE-ZWRWT",46.9,3142.3,28,"No","No","No",50.55,3431.75,0.0
"ENZF-GPWUY",5.59,55.9,59,"Yes","No","No",73.35,733.5,0.0
"EOEC-ENVQW",31.3,1721.5,0,"No","No","No",20.0,1087.25,0.0
"EOID-HJLQW",0.0,0.0,6,"Yes","Yes","Yes",61.2,4390.25,0.0
"EOJM-DALHK",17.87,1286.64,3,"Yes","Yes","Yes",116.95,8594.4,0.0
"EOKO-VZQAI",0.0,0.0,76,"No","No","Yes",24.4,24.4,0.0
"EOTO-VFRAI",23.28,1164.0,51,"Yes","Yes","Yes",103.95,5231.3,0.0
"EOTR-MWFTO",11.23,640.11,30,"Yes","No","No",69.85,4003.0,0.0
"EOUW-VVSMS",28.68,1864.2,20,"No","No","No",70.95,4555.2,7.43
"EOWY-BPOCN",18.46,258.44,26,"No","No","No",76.45,1117.55,0.0
"EPIY-PBBWR",15.24,914.4,16,"Yes","No","No",59.8,3561.15,0.0
"EPKZ-MFTKX",3.66,263.52,13,"No","No","No",69.65,4908.25,0.0
"EPLO-UWQRA",13.16,394.8,27,"Yes","Yes","Yes",110.45,3327.05,0.0
"EPOO-CBHIO",15.68,736.96,0,"No","No","No",24.55,1160.45,0.0
"EPOP-GNBEZ",6.01,60.1,27,"No","Yes","No",85.55,851.75,0.0
"EPQO-GWJDV",12.96,933.12,56,"Yes","Yes","Yes",80.45,5886.85,0.0
"EPUR-SCNLO",38.53,1656.79,27,"Yes","Yes","Yes",78.8,3460.3,24.9
"EPVL-FDQBR",43.71,2360.34,12,"Yes","Yes","No",115.6,6431.05,0.0
"EPVV-QMTTY",17.03,34.06,0,"No","No","No",20.0,32.7,0.0
"EPWF-JRFLG",2.46,4.92,0,"No","No","No",20.35,35.1,0.0
"EQED-YOVEU",27.65,1271.9,0,"No","No","No",20.25,890.35,0.0
"EQEF-IJOIE",22.92,22.92,0,"No","No","No",19.45,19.45,0.0
"EQEM-HGWNW",47.48,1471.88,8,"No","No","No",73.55,2094.65,0.0
"EQEQ-KTCIZ",12.71,482.98,9,"Yes","No","No",91.7,3479.05,0.0
"EQHF-FLONB",41.22,1772.46,7,"Yes","Yes","Yes",94.35,3921.3,0.0
"EQLQ-FIIDR",8.33,599.76,59,"Yes","Yes","Yes",105.55,7542.25,0.0
"EQMA-TFSAO",41.85,1548.45,2,"Yes","Yes","No",106.75,4056.75,0.0
"EQNF-MHABK",13.51,13.51,0,"No","No","No",20.05,20.05,0.0
"EQOB-KQTHM",25.57,1508.63,5,"No","No","No",89.75,5496.9,0.0
"EQRC-UIPBO",42.04,1891.8,26,"No","No","No",54.15,2319.8,0.0
"EQUL-BMVER",12.68,583.28,0,"No","No","No",19.4,958.15,0.0
"EQVA-JFNZW",20.67,165.36,18,"No","No","No",75.0,658.1,0.0
"EQWU-VLHEC",6.49,136.29,73,"No","Yes","Yes",90.05,1862.9,0.0
"ERDP-EOOKY",0.0,0.0,25,"Yes","Yes","Yes",59.95,1848.8,0.0
"ERFW-PHULH",3.43,246.96,0,"No","No","No",19.85,1434.1,0.0
"ERHY-QLJOT",35.46,1453.86,0,"No","No","No",19.75,899.45,0.0
"ERJH-EHBRQ",11.68,548.96,0,"No","No","No",26.9,1250.85,0.0
"ERQX-ISOMP",40.28,2577.92,52,"No","No","No",58.35,3756.45,0.0
"ERRI-RYBFL",0.0,0.0,14,"No","Yes","Yes",49.9,2782.4,0.0
"ERSS-ODTDY",8.4,193.2,27,"No","No","No",54.15,1312.45,0.0
"ESCH-FJLMR",11.01,77.07,18,"No","No","No",51.3,419.35,0.0
"ESHI-JJKZM",10.83,10.83,15,"No","No","No",49.55,49.55,0.0
"ESKW-BTKDE",4.98,39.84,0,"No","No","No",20.25,158.35,0.0
"ESPQ-NLECI",8.39,587.3,59,"Yes","Yes","Yes",98.9,6838.6,0.0
"ESXQ-TKAXB",0.0,0.0,28,"Yes","Yes","No",56.25,1765.95,0.0
"ETFD-GXAVM",22.97,22.97,23,"Yes","No","No",85.45,85.45,0.0
"ETKA-ARZMQ",0.0,0.0,22,"No","No","No",34.7,1604.5,0.0
"ETKG-EDWEM",33.46,1405.32,52,"Yes","Yes","Yes",105.2,4400.75,40.15
"ETKJ-YSPYP",36.05,2199.05,73,"Yes","Yes","Yes",106.45,6300.15,0.0
"ETKP-ESKJF",49.5,495.0,19,"No","No","No",81.0,818.05,0.0
"ETLP-VDFUL",43.99,219.95,27,"No","No","No",59.9,287.85,0.0
"ETMO-GKVVB",23.42,210.78,30,"Yes","Yes","Yes",102.6,897.75,0.0
"ETQW-DQXYU",47.18,2406.18,12,"No","No","No",60.5,3145.15,0.0
"ETRK-DXZEJ",47.47,2753.26,69,"Yes","No","No",70.1,4048.95,0.0
"ETTJ-VQNQQ",0.0,0.0,23,"Yes","Yes","Yes",50.25,2997.45,0.0
"ETVX-XNPXG",25.19,1209.12,22,"No","Yes","Yes",91.05,4370.75,0.0
"ETYH-SSBRE",0.0,0.0,9,"Yes","No","No",50.95,605.75,0.0
"ETYM-KAFOQ",2.26,6.78,3,"No","No","No",70.4,204.7,0.0
"ETZJ-LERMR",36.12,216.72,23,"No","No","No",80.5,502.85,0.0
"EUBV-QSAPE",47.88,526.68,0,"No","No","No",20.35,215.25,0.0
"EUFP-GKCXK",12.91,116.19,21,"No","Yes","No",84.45,762.5,0.0
"EUGT-EJURN",38.83,310.64,76,"Yes","Yes","Yes",94.2,777.3,0.0
"EUIS-AWHFO",34.0,1768.0,3,"No","No","No",59.85,3103.25,19.16
"EUIU-TDJGZ",25.19,50.38,14,"Yes","Yes","No",93.85,196.75,0.0
"EUKX-URXYO",36.52,401.72,20,"No","No","No",76.4,838.7,0.0
"EULJ-SMHIH",46.83,2154.18,2,"Yes","Yes","Yes",79.2,3593.8,0.0
"EUMP-OZDBY",41.78,501.36,0,"No","No","No",19.3,228.75,0.0
"EUQB-FYGWY",30.22,543.96,0,"No","No","No",25.3,454.65,0.0
"EUSA-WGJCP",26.62,1863.4,19,"No","No","No",64.95,4551.5,20.87
"EUVD-JBZZO",33.97,1460.71,69,"Yes","Yes","Yes",80.2,3581.6,0.0
"EUWO-SKZGR",12.22,867.62,0,"No","No","No",19.9,1389.35,0.0
"EUZH-JBAWM",6.52,228.2,0,"No","No","No",23.3,797.1,0.0
"EVCZ-DQNNY",23.46,187.68,0,"No","No","No",20.0,141.6,0.0
"EVFB-ZLENO",44.06,1057.44,59,"Yes","Yes","Yes",69.45,1614.05,0.0
"EVFF-HKGCE",47.02,3338.42,12,"No","No","No",96.35,6766.95,0.0
"EVHN-WTFLP",28.8,662.4,13,"No","No","No",74.95,1710.45,0.0
"EVHZ-JYYEQ",7.49,29.96,17,"No","No","No",55.2,220.65,0.0
"EVIJ-FOJSR",10.4,624.0,5,"Yes","Yes","No",99.0,6017.9,0.0
"EVJI-TLJJV",15.15,606.0,18,"Yes","No","No",98.15,4116.8,27.89
"EVKX-RSCWL",40.21,1085.67,13,"No","No","No",66.15,1874.45,0.0
"EVNX-WXZHW",37.5,2512.5,30,"Yes","No","No",102.95,6886.25,0.0
"EVPB-PFAUN",38.41,115.23,0,"No","No","No",20.7,57.5,0.0
"EVRB-CYLIM",30.09,30.09,0,"No","No","No",20.35,20.35,0.0
"EVSK-BFFST",14.52,885.72,27,"No","Yes","Yes",89.2,5500.6,0.0
